Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-05-01T03:33:11,CLOSED,25001104CA,04/29/2026 11:00 AM ET,"142 FAIRWAY ROAD ROTONDA WEST, FL- 33947 Plaintiff max bid: $402,953.00 page of 1","$450,610.88",Hidden,Hidden,Property Appraiser
2026-05-01T03:33:11,CLOSED,24001716CA,04/30/2026 11:00 AM ET,"10460 GREENWAY AVE ENGLEWOOD, FL- 34224","$287,327.23","$302,291.00",Hidden,412011481017
2026-05-01T03:33:11,CLOSED,25000747CA,04/30/2026 11:00 AM ET,"8917 CALUMET BLVD PORT CHARLOTTE, FL- 33981","$355,151.37","$27,200.00",Hidden,412115160003
2026-05-01T03:33:11,CLOSED,24002282CA,05/01/2026 11:00 AM ET,"277 SEASONS DR PUNTA GORDA, FL- 33983","$393,066.35","$350,151.00",Hidden,402303301002
2026-05-04T03:33:15,NEW,25000785CA,05/27/2026 11:00 AM ET,"2428 NUREMBERG BLVD PUNTA GORDA, FL- 33983","$416,707.75","$231,121.00",Hidden,402316327001
2026-05-04T03:33:15,NEW,25001153CA,05/27/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-04T03:33:15,NEW,25001030CA,05/28/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-04T03:33:15,NEW,25000838CA,06/15/2026 11:00 AM ET,"24276 PEPPERCORN RD PUNTA GORDA, FL- 33955","$312,240.22","$34,000.00",Hidden,422331254001
2026-05-04T03:33:15,NEW,25001061CA,08/26/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-04T03:33:15,CLOSED,25000755CA,05/01/2026 11:00 AM ET,"9032 EVELYN RD ENGLEWOOD, FL- 34224","$355,095.06","$21,251.00",Hidden,412027102003
2026-05-04T03:33:15,CLOSED,25000828CA,05/01/2026 11:00 AM ET,"605 ROSE APPLE CIR PORT CHARLOTTE, FL- 33954","$303,791.90","$228,244.00",Hidden,402204357004
2026-05-05T03:33:07,CLOSED,25000784CA,05/04/2026 11:00 AM ET,"9040 EVELYN RD ENGLEWOOD, FL- 34224","$318,078.57","$21,251.00",Hidden,412027102004
2026-05-05T03:33:07,CLOSED,25001710CA,05/04/2026 11:00 AM ET,,"$571,023.83",Hidden,Hidden,
2026-05-06T03:33:15,NEW,25001360CA,06/17/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-06T03:33:15,NEW,25001103CA,06/29/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-07T03:33:15,NEW,25001454CA,06/01/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-07T03:33:15,NEW,25001241CA,06/22/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-07T03:33:15,CLOSED,25001102CA,05/06/2026 11:00 AM ET,"1365 BLAISDELL ST PORT CHARLOTTE, FL- 33980","$431,079.66","$355,838.00",Hidden,402212431005
2026-05-07T03:33:15,CLOSED,25001394CA,05/06/2026 11:00 AM ET,"7 GOLFVIEW TER ROTONDA WEST, FL- 33947","$191,726.67","$93,071.00",Hidden,412027230005
2026-05-08T03:33:16,NEW,23004612CA,05/13/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-08T03:33:16,NEW,25000221CC,06/01/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
